node_type_id,pop_name,location,rheobase,slope
475585413,i1Htr3a,VisL1,105.0,0.4
482649712,i1Htr3a,VisL1,145.0,0.4444444444444444
482654108,i1Htr3a,VisL1,220.0,0.3333333333333333
484509440,e23Cux2,VisL2/3,140.0,0.35555555555555557
486262299,e23Cux2,VisL2/3,,
486753754,e23Cux2,VisL2/3,160.0,0.35555555555555557
489751692,e23Cux2,VisL2/3,125.0,0.37777777777777777
490376252,e23Cux2,VisL2/3,125.0,0.28888888888888886
505512874,e23Cux2,VisL2/3,215.0,0.26666666666666666
513510227,e23Cux2,VisL2/3,330.0,0.08888888888888889
501736631,i23Vip,VisL2/3,345.0,0.3111111111111111
514767977,i23Vip,VisL2/3,60.0,0.5777777777777777
522418855,i23Vip,VisL2/3,85.0,0.4888888888888889
523478869,i23Vip,VisL2/3,265.0,0.2
524689239,i23Vip,VisL2/3,170.0,0.4
524693113,i23Vip,VisL2/3,30.0,0.5555555555555556
524876305,i23Vip,VisL2/3,105.0,0.3333333333333333
560814288,i23Vip,VisL2/3,30.0,0.7555555555555555
562539062,i23Vip,VisL2/3,55.0,0.5111111111111111
575920560,i23Vip,VisL2/3,145.0,0.28888888888888886
341016267,i23Pvalb,VisL2/3,190.0,0.8444444444444444
341442651,i23Pvalb,VisL2/3,250.0,0.6888888888888889
469614747,i23Pvalb,VisL2/3,215.0,0.6222222222222222
477490421,i23Pvalb,VisL2/3,285.0,0.7777777777777778
479298854,i23Pvalb,VisL2/3,380.0,0.8666666666666667
481018305,i23Pvalb,VisL2/3,255.0,1.0666666666666667
482444444,i23Pvalb,VisL2/3,250.0,0.9555555555555556
484635029,i23Pvalb,VisL2/3,335.0,0.6666666666666666
485184849,i23Pvalb,VisL2/3,260.0,0.8888888888888888
485245025,i23Pvalb,VisL2/3,205.0,0.6888888888888889
488501071,i23Pvalb,VisL2/3,235.0,0.9555555555555556
574992320,i23Pvalb,VisL2/3,180.0,0.4222222222222222
313862274,i23Sst,VisL2/3,145.0,0.5777777777777777
324493977,i23Sst,VisL2/3,135.0,0.37777777777777777
476686112,i23Sst,VisL2/3,95.0,0.4
485466109,i23Sst,VisL2/3,155.0,0.5111111111111111
488677994,i23Sst,VisL2/3,170.0,0.4444444444444444
491026389,i23Sst,VisL2/3,175.0,0.4222222222222222
623960880,i23Sst,VisL2/3,85.0,0.35555555555555557
354833767,e4Nr5a1,VisL4,365.0,0.3333333333333333
369697038,e4Nr5a1,VisL4,175.0,0.24444444444444444
386049446,e4Nr5a1,VisL4,130.0,0.2222222222222222
397354239,e4Nr5a1,VisL4,170.0,0.3111111111111111
465924786,e4Nr5a1,VisL4,200.0,0.3333333333333333
469704261,e4Nr5a1,VisL4,405.0,0.24444444444444444
469734859,e4Nr5a1,VisL4,235.0,0.35555555555555557
475838754,e4Nr5a1,VisL4,290.0,0.3111111111111111
478439166,e4Nr5a1,VisL4,180.0,0.4
489754156,e4Nr5a1,VisL4,205.0,0.37777777777777777
502260112,e4Nr5a1,VisL4,230.0,0.24444444444444444
505808144,e4Nr5a1,VisL4,185.0,0.28888888888888886
517977609,e4Nr5a1,VisL4,130.0,0.26666666666666666
322723785,e4Rorb,VisL4,200.0,0.4
322761772,e4Rorb,VisL4,135.0,0.2
324065524,e4Rorb,VisL4,105.0,0.4222222222222222
329550277,e4Rorb,VisL4,240.0,0.3111111111111111
466378900,e4Rorb,VisL4,145.0,0.35555555555555557
467003163,e4Rorb,VisL4,250.0,0.28888888888888886
467357834,e4Rorb,VisL4,250.0,0.24444444444444444
469763389,e4Rorb,VisL4,170.0,0.26666666666666666
473020156,e4Rorb,VisL4,110.0,0.28888888888888886
476562817,e4Rorb,VisL4,145.0,0.35555555555555557
478586425,e4Rorb,VisL4,200.0,0.3333333333333333
479179020,e4Rorb,VisL4,120.0,0.3111111111111111
484679812,e4Rorb,VisL4,90.0,0.3111111111111111
484770879,e4Rorb,VisL4,220.0,0.3333333333333333
485836906,e4Rorb,VisL4,245.0,0.3111111111111111
486472847,e4Rorb,VisL4,175.0,0.35555555555555557
486500736,e4Rorb,VisL4,275.0,0.2222222222222222
490626718,e4Rorb,VisL4,275.0,0.35555555555555557
490626827,e4Rorb,VisL4,260.0,0.4222222222222222
500859045,e4Rorb,VisL4,195.0,0.28888888888888886
500894271,e4Rorb,VisL4,180.0,0.17777777777777778
320207387,e4Scnn1a,VisL4,215.0,0.2222222222222222
323838579,e4Scnn1a,VisL4,210.0,0.35555555555555557
476266853,e4Scnn1a,VisL4,225.0,0.3111111111111111
500964358,e4Scnn1a,VisL4,185.0,0.2
517647182,e4Scnn1a,VisL4,120.0,0.2222222222222222
479993900,e4other,VisL4,215.0,0.2222222222222222
480169202,e4other,VisL4,205.0,0.2
483020137,e4other,VisL4,155.0,0.3333333333333333
488689403,e4other,VisL4,155.0,0.2222222222222222
501570114,i4Vip,VisL4,70.0,0.3111111111111111
531121585,i4Vip,VisL4,65.0,0.4222222222222222
535728342,i4Vip,VisL4,20.0,0.6
560690291,i4Vip,VisL4,150.0,0.28888888888888886
561934585,i4Vip,VisL4,160.0,0.17777777777777778
562540395,i4Vip,VisL4,140.0,0.26666666666666666
478793814,i4Pvalb,VisL4,175.0,0.7777777777777778
478958894,i4Pvalb,VisL4,245.0,0.6
481127173,i4Pvalb,VisL4,240.0,0.9333333333333333
481127348,i4Pvalb,VisL4,185.0,0.8222222222222222
487405644,i4Pvalb,VisL4,155.0,0.6444444444444445
487667205,i4Pvalb,VisL4,200.0,0.8444444444444444
491038812,i4Pvalb,VisL4,295.0,0.8666666666666667
569997187,i4Pvalb,VisL4,125.0,0.5111111111111111
571314481,i4Pvalb,VisL4,165.0,0.7333333333333333
572375809,i4Pvalb,VisL4,185.0,0.6
579414994,i4Pvalb,VisL4,165.0,0.4222222222222222
476099282,i4Sst,VisL4,100.0,0.5111111111111111
476753465,i4Sst,VisL4,70.0,0.4888888888888889
485061364,i4Sst,VisL4,170.0,0.5777777777777777
501280518,i4Sst,VisL4,135.0,0.6444444444444445
501282204,i4Sst,VisL4,240.0,0.4
573622646,i4Sst,VisL4,240.0,0.37777777777777777
314822529,e5IT,VisL5,205.0,0.17777777777777778
468120757,e5IT,VisL5,340.0,0.24444444444444444
480169178,e5IT,VisL5,210.0,0.24444444444444444
486110216,e5IT,VisL5,245.0,0.24444444444444444
