source,target,connections
L2/3_Exc,L2/3_Exc,806
L2/3_Exc,L4_Exc,65
L2/3_Exc,L5_ET,160
L2/3_Exc,L5_IT,88
L2/3_Exc,L6_Exc,22
L4_Exc,L2/3_Exc,457
L4_Exc,L4_Exc,1386
L4_Exc,L5_ET,124
L4_Exc,L5_IT,239
L4_Exc,L6_Exc,25
L5_ET,L2/3_Exc,8
L5_ET,L4_Exc,4
L5_ET,L5_ET,24
L5_ET,L5_IT,24
L5_ET,L6_Exc,1
L5_IT,L2/3_Exc,147
L5_IT,L4_Exc,55
L5_IT,L5_ET,50
L5_IT,L5_IT,137
L5_IT,L6_Exc,15
L6_Exc,L2/3_Exc,41
L6_Exc,L4_Exc,15
L6_Exc,L5_ET,7
L6_Exc,L5_IT,16
L6_Exc,L6_Exc,18
