edge_type_id target_query source_query model_template syn_weight dynamics_params delay weight_function
100 node_type_id=='475585413' * static_synapse 4.47265625 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
101 node_type_id=='482649712' * static_synapse 6.2158203125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
102 node_type_id=='482654108' * static_synapse 9.578125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
103 node_type_id=='484509440' * static_synapse 5.5703125 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
104 node_type_id=='486262299' * static_synapse 35.03125 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
105 node_type_id=='486753754' * static_synapse 7.8203125 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
106 node_type_id=='489751692' * static_synapse 5.671875 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
107 node_type_id=='490376252' * static_synapse 4.0859375 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
108 node_type_id=='505512874' * static_synapse 10.21875 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
109 node_type_id=='513510227' * static_synapse 12.375 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
110 node_type_id=='501736631' * static_synapse 15.03125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
111 node_type_id=='514767977' * static_synapse 2.2734375 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
112 node_type_id=='522418855' * static_synapse 3.234375 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
113 node_type_id=='523478869' * static_synapse 11.28125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
114 node_type_id=='524689239' * static_synapse 7.40625 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
115 node_type_id=='524693113' * static_synapse 0.96875 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
116 node_type_id=='524876305' * static_synapse 4.625 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
117 node_type_id=='560814288' * static_synapse 0.8984375 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
118 node_type_id=='562539062' * static_synapse 2.0625 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
119 node_type_id=='575920560' * static_synapse 6.28125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
120 node_type_id=='341016267' * static_synapse 16.0 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
121 node_type_id=='341442651' * static_synapse 22.9375 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
122 node_type_id=='469614747' * static_synapse 19.484375 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
123 node_type_id=='477490421' * static_synapse 26.9375 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
124 node_type_id=='479298854' * static_synapse 37.6875 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
125 node_type_id=='481018305' * static_synapse 24.515625 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
126 node_type_id=='482444444' * static_synapse 22.25 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
127 node_type_id=='484635029' * static_synapse 33.9375 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
128 node_type_id=='485184849' * static_synapse 23.21875 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
129 node_type_id=='485245025' * static_synapse 18.3125 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
130 node_type_id=='488501071' * static_synapse 20.84375 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
131 node_type_id=='574992320' * static_synapse 13.078125 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
132 node_type_id=='313862274' * static_synapse 9.1640625 lgn_to_sst.json 1.0 ConstantMultiplier_BKG
133 node_type_id=='324493977' * static_synapse 8.9609375 lgn_to_sst.json 1.0 ConstantMultiplier_BKG
134 node_type_id=='476686112' * static_synapse 5.59375 lgn_to_sst.json 1.0 ConstantMultiplier_BKG
135 node_type_id=='485466109' * static_synapse 10.578125 lgn_to_sst.json 1.0 ConstantMultiplier_BKG
136 node_type_id=='488677994' * static_synapse 11.47265625 lgn_to_sst.json 1.0 ConstantMultiplier_BKG
137 node_type_id=='491026389' * static_synapse 11.7265625 lgn_to_sst.json 1.0 ConstantMultiplier_BKG
138 node_type_id=='623960880' * static_synapse 4.8828125 lgn_to_sst.json 1.0 ConstantMultiplier_BKG
139 node_type_id=='354833767' * static_synapse 18.109375 lgn_to_e4.json 1.0 ConstantMultiplier_BKG
140 node_type_id=='369697038' * static_synapse 6.1875 lgn_to_e4.json 1.0 ConstantMultiplier_BKG
141 node_type_id=='386049446' * static_synapse 2.734375 lgn_to_e4.json 1.0 ConstantMultiplier_BKG
142 node_type_id=='397354239' * static_synapse 3.125 lgn_to_e4.json 1.0 ConstantMultiplier_BKG
143 node_type_id=='465924786' * static_synapse 6.375 lgn_to_e4.json 1.0 ConstantMultiplier_BKG
144 node_type_id=='469704261' * static_synapse 20.59375 lgn_to_e4.json 1.0 ConstantMultiplier_BKG
145 node_type_id=='469734859' * static_synapse 9.8125 lgn_to_e4.json 1.0 ConstantMultiplier_BKG
146 node_type_id=='475838754' * static_synapse 10.78125 lgn_to_e4.json 1.0 ConstantMultiplier_BKG
147 node_type_id=='478439166' * static_synapse 7.890625 lgn_to_e4.json 1.0 ConstantMultiplier_BKG
