edge_type_id target_query source_query delay weight_function dynamics_params model_template syn_weight
165 node_type_id=='484770879' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.6298828125
166 node_type_id=='485836906' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.6494140625
167 node_type_id=='486472847' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.58502197265625
168 node_type_id=='486500736' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.71533203125
169 node_type_id=='490626718' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.0595703125
170 node_type_id=='490626827' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.9552001953125
171 node_type_id=='500859045' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.4931640625
172 node_type_id=='500894271' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.44189453125
173 node_type_id=='320207387' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.4736328125
174 node_type_id=='323838579' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.5517578125
175 node_type_id=='476266853' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.6494140625
176 node_type_id=='500964358' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.44189453125
177 node_type_id=='517647182' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.0439453125
178 node_type_id=='479993900' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.59814453125
179 node_type_id=='480169202' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.12939453125
180 node_type_id=='483020137' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.46783447265625
181 node_type_id=='488689403' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.0439453125
182 node_type_id=='501570114' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.2197265625
183 node_type_id=='531121585' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.0244140625
184 node_type_id=='535728342' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.0244140625
185 node_type_id=='560690291' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.77392578125
186 node_type_id=='561934585' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.5517578125
187 node_type_id=='562540395' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.644073486328125
188 node_type_id=='478793814' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.14892578125
189 node_type_id=='478958894' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.302734375
190 node_type_id=='481127173' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.5029296875
191 node_type_id=='481127348' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.302734375
192 node_type_id=='487405644' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.2392578125
193 node_type_id=='487667205' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.0341796875
194 node_type_id=='491038812' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.4443359375
195 node_type_id=='569997187' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.1220703125
196 node_type_id=='571314481' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.05859375
197 node_type_id=='572375809' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.250244140625
198 node_type_id=='579414994' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.185546875
199 node_type_id=='476099282' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 0.4931640625
200 node_type_id=='476753465' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 0.1806640625
201 node_type_id=='485061364' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 0.89111328125
202 node_type_id=='501280518' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 0.6298828125
203 node_type_id=='501282204' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.0791015625
