edge_type_id target_query source_query delay weight_function dynamics_params model_template syn_weight
100 node_type_id=='475585413' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 3.11328125
101 node_type_id=='482649712' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 4.28515625
102 node_type_id=='482654108' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 6.4658203125
103 node_type_id=='484509440' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 1.17578125
104 node_type_id=='486262299' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 7.89453125
105 node_type_id=='486753754' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 1.69140625
106 node_type_id=='489751692' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 1.2001953125
107 node_type_id=='490376252' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 0.81640625
108 node_type_id=='505512874' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 2.14453125
109 node_type_id=='513510227' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 2.6845703125
110 node_type_id=='501736631' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 11.0
111 node_type_id=='514767977' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 1.796875
112 node_type_id=='522418855' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 2.5078125
113 node_type_id=='523478869' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 8.625
114 node_type_id=='524689239' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 5.5625
115 node_type_id=='524693113' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.78125
116 node_type_id=='524876305' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 3.578125
117 node_type_id=='560814288' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.734375
118 node_type_id=='562539062' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 1.625
119 node_type_id=='575920560' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 4.828125
120 node_type_id=='341016267' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 6.8125
121 node_type_id=='341442651' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 9.625
122 node_type_id=='469614747' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 8.4375
123 node_type_id=='477490421' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 11.5625
124 node_type_id=='479298854' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 15.765625
125 node_type_id=='481018305' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 10.4375
126 node_type_id=='482444444' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 9.75
127 node_type_id=='484635029' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 14.140625
128 node_type_id=='485184849' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 10.015625
129 node_type_id=='485245025' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 7.75
130 node_type_id=='488501071' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 8.625
131 node_type_id=='574992320' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 5.7265625
132 node_type_id=='313862274' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 4.3671875
133 node_type_id=='324493977' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 4.3125
134 node_type_id=='476686112' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.80078125
135 node_type_id=='485466109' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 5.046875
136 node_type_id=='488677994' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 5.40234375
137 node_type_id=='491026389' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 5.59375
138 node_type_id=='623960880' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.40625
139 node_type_id=='354833767' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 5.75
140 node_type_id=='369697038' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.109375
141 node_type_id=='386049446' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.87109375
142 node_type_id=='397354239' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.9921875
143 node_type_id=='465924786' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.0
144 node_type_id=='469704261' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 6.59375
145 node_type_id=='469734859' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 3.20703125
146 node_type_id=='475838754' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 3.2939453125
147 node_type_id=='478439166' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.59375
148 node_type_id=='489754156' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.625
149 node_type_id=='502260112' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.6484375
150 node_type_id=='505808144' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.8046875
151 node_type_id=='517977609' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.40625
152 node_type_id=='322723785' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.244140625
153 node_type_id=='322761772' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.62890625
154 node_type_id=='324065524' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.353515625
155 node_type_id=='329550277' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 3.20703125
156 node_type_id=='466378900' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.8564453125
157 node_type_id=='467003163' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.97265625
158 node_type_id=='467357834' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 3.16015625
159 node_type_id=='469763389' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.47265625
160 node_type_id=='473020156' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.619140625
161 node_type_id=='476562817' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.6533203125
162 node_type_id=='478586425' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.119140625
163 node_type_id=='479179020' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.119140625
164 node_type_id=='484679812' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.11328125
165 node_type_id=='484770879' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.436767578125
166 node_type_id=='485836906' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.525390625
167 node_type_id=='486472847' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.2470703125
168 node_type_id=='486500736' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.843017578125
169 node_type_id=='490626718' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 3.92578125
170 node_type_id=='490626827' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 3.666015625
171 node_type_id=='500859045' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.947265625
172 node_type_id=='500894271' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.733642578125
173 node_type_id=='320207387' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.884765625
174 node_type_id=='323838579' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.17578125
175 node_type_id=='476266853' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.48828125
176 node_type_id=='500964358' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.71728515625
177 node_type_id=='517647182' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.1871337890625
178 node_type_id=='479993900' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 2.337890625
179 node_type_id=='480169202' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.51953125
180 node_type_id=='483020137' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.8121337890625
181 node_type_id=='488689403' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.166015625
182 node_type_id=='501570114' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.91015625
183 node_type_id=='531121585' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.108642578125
184 node_type_id=='535728342' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.08203125
185 node_type_id=='560690291' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 2.947265625
186 node_type_id=='561934585' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 2.14453125
187 node_type_id=='562540395' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 2.55078125
188 node_type_id=='478793814' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.6376953125
189 node_type_id=='478958894' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.2265625
190 node_type_id=='481127173' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.984375
191 node_type_id=='481127348' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.1875
192 node_type_id=='487405644' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.90625
193 node_type_id=='487667205' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.125
194 node_type_id=='491038812' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.7109375
195 node_type_id=='569997187' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.4921875
196 node_type_id=='571314481' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.2734375
197 node_type_id=='572375809' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.03125
198 node_type_id=='579414994' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.71875
199 node_type_id=='476099282' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.91015625
200 node_type_id=='476753465' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 0.70703125
201 node_type_id=='485061364' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 3.34375
202 node_type_id=='501280518' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.40625
203 node_type_id=='501282204' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 4.234375
204 node_type_id=='573622646' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 5.3125
205 node_type_id=='314822529' * 1.0 weight_function_bkg exc_to_e5it.json static_synapse 2.09375
206 node_type_id=='468120757' * 1.0 weight_function_bkg exc_to_e5it.json static_synapse 3.734375
207 node_type_id=='480169178' * 1.0 weight_function_bkg exc_to_e5it.json static_synapse 2.140625
208 node_type_id=='486110216' * 1.0 weight_function_bkg exc_to_e5it.json static_synapse 2.640625
209 node_type_id=='485574832' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 2.375
210 node_type_id=='485838981' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 1.8359375
211 node_type_id=='486111903' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 3.03125
212 node_type_id=='488679042' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 2.13671875
213 node_type_id=='488680917' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 1.59375
214 node_type_id=='488683425' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 0.765625
215 node_type_id=='322762730' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 4.171875
216 node_type_id=='487445455' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 5.21875
217 node_type_id=='487664070' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 2.234375
218 node_type_id=='488419491' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 4.953125
219 node_type_id=='488467273' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 4.09375
220 node_type_id=='490263438' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 6.4375
221 node_type_id=='505202906' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 6.125
222 node_type_id=='558675748' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.234375
223 node_type_id=='562999984' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 7.5
224 node_type_id=='569469018' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 2.453125
225 node_type_id=='569477234' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 4.3125
226 node_type_id=='605141937' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.9375
227 node_type_id=='568767467' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.947265625
228 node_type_id=='591627904' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 3.40234375
229 node_type_id=='592819166' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 3.1953125
230 node_type_id=='313861608' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 6.8125
231 node_type_id=='318556138' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.09375
232 node_type_id=='320455763' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 0.96875
233 node_type_id=='469801569' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 5.26171875
234 node_type_id=='478949560' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 2.265625
235 node_type_id=='480952106' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 3.0
236 node_type_id=='481093525' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 7.0078125
237 node_type_id=='484742372' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 3.46875
238 node_type_id=='487400838' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.28125
239 node_type_id=='487594856' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 3.3828125
240 node_type_id=='488440436' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.796875
241 node_type_id=='515305346' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.8125
242 node_type_id=='313862134' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.59765625
243 node_type_id=='328015342' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.828125
244 node_type_id=='328031983' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.48828125
245 node_type_id=='329224678' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 5.80078125
246 node_type_id=='329254830' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 5.3671875
247 node_type_id=='464212183' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.46875
248 node_type_id=='473011949' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 4.625
249 node_type_id=='473593847' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 4.88671875
250 node_type_id=='475057898' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.0546875
251 node_type_id=='475542907' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 5.50390625
252 node_type_id=='475580568' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.76953125
253 node_type_id=='482690728' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 2.0234375
254 node_type_id=='485058595' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.703125
255 node_type_id=='485455285' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 7.734375
256 node_type_id=='486352114' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 3.30078125
257 node_type_id=='490173806' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 3.56640625
258 node_type_id=='491029832' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 3.57421875
259 node_type_id=='491030723' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 3.75
260 node_type_id=='497560724' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 8.1484375
261 node_type_id=='501730497' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.46875
262 node_type_id=='526785742' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 4.2578125
263 node_type_id=='575637715' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 5.0546875
264 node_type_id=='466632464' * 1.0 weight_function_bkg exc_to_e6.json static_synapse 3.749908447265625
265 node_type_id=='471789504' * 1.0 weight_function_bkg exc_to_e6.json static_synapse 4.25390625
266 node_type_id=='471800189' * 1.0 weight_function_bkg exc_to_e6.json static_synapse 8.484283447265625
267 node_type_id=='471819401' * 1.0 weight_function_bkg exc_to_e6.json static_synapse 5.556640625
