edge_type_id target_query source_query model_template syn_weight dynamics_params delay weight_function
100 node_type_id=='475585413' * static_synapse 4.7578125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
101 node_type_id=='482649712' * static_synapse 6.53125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
102 node_type_id=='482654108' * static_synapse 10.125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
103 node_type_id=='484509440' * static_synapse 5.9140625 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
104 node_type_id=='486262299' * static_synapse 36.3125 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
105 node_type_id=='486753754' * static_synapse 8.234375 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
106 node_type_id=='489751692' * static_synapse 6.03125 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
107 node_type_id=='490376252' * static_synapse 4.421875 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
108 node_type_id=='505512874' * static_synapse 10.6875 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
109 node_type_id=='513510227' * static_synapse 13.71875 lgn_to_e23.json 1.0 ConstantMultiplier_BKG
110 node_type_id=='501736631' * static_synapse 15.125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
111 node_type_id=='514767977' * static_synapse 2.3125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
112 node_type_id=='522418855' * static_synapse 3.2578125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
113 node_type_id=='523478869' * static_synapse 11.375 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
114 node_type_id=='524689239' * static_synapse 7.46875 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
115 node_type_id=='524693113' * static_synapse 1.015625 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
116 node_type_id=='524876305' * static_synapse 4.75 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
117 node_type_id=='560814288' * static_synapse 0.9375 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
118 node_type_id=='562539062' * static_synapse 2.125 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
119 node_type_id=='575920560' * static_synapse 6.375 lgn_to_vip.json 1.0 ConstantMultiplier_BKG
120 node_type_id=='341016267' * static_synapse 16.5625 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
121 node_type_id=='341442651' * static_synapse 23.0 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
122 node_type_id=='469614747' * static_synapse 20.1875 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
123 node_type_id=='477490421' * static_synapse 27.375 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
124 node_type_id=='479298854' * static_synapse 38.46875 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
125 node_type_id=='481018305' * static_synapse 25.25 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
126 node_type_id=='482444444' * static_synapse 23.0 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
127 node_type_id=='484635029' * static_synapse 34.28125 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
128 node_type_id=='485184849' * static_synapse 24.15625 lgn_to_pv.json 1.0 ConstantMultiplier_BKG
