edge_type_id target_query source_query dynamics_params model_template delay syn_weight weight_function
145 node_type_id=='469734859' * lgn_to_e4.json static_synapse 1.0 31.9375 ConstantMultiplier_BKG
146 node_type_id=='475838754' * lgn_to_e4.json static_synapse 1.0 34.1875 ConstantMultiplier_BKG
147 node_type_id=='478439166' * lgn_to_e4.json static_synapse 1.0 25.5625 ConstantMultiplier_BKG
148 node_type_id=='489754156' * lgn_to_e4.json static_synapse 1.0 27.0 ConstantMultiplier_BKG
149 node_type_id=='502260112' * lgn_to_e4.json static_synapse 1.0 27.125 ConstantMultiplier_BKG
150 node_type_id=='505808144' * lgn_to_e4.json static_synapse 1.0 18.875 ConstantMultiplier_BKG
151 node_type_id=='517977609' * lgn_to_e4.json static_synapse 1.0 3.5625 ConstantMultiplier_BKG
152 node_type_id=='322723785' * lgn_to_e4.json static_synapse 1.0 22.375 ConstantMultiplier_BKG
153 node_type_id=='322761772' * lgn_to_e4.json static_synapse 1.0 6.3125 ConstantMultiplier_BKG
154 node_type_id=='324065524' * lgn_to_e4.json static_synapse 1.0 3.625 ConstantMultiplier_BKG
155 node_type_id=='329550277' * lgn_to_e4.json static_synapse 1.0 32.0 ConstantMultiplier_BKG
156 node_type_id=='466378900' * lgn_to_e4.json static_synapse 1.0 19.125 ConstantMultiplier_BKG
157 node_type_id=='467003163' * lgn_to_e4.json static_synapse 1.0 29.75 ConstantMultiplier_BKG
158 node_type_id=='467357834' * lgn_to_e4.json static_synapse 1.0 33.125 ConstantMultiplier_BKG
159 node_type_id=='469763389' * lgn_to_e4.json static_synapse 1.0 15.875 ConstantMultiplier_BKG
160 node_type_id=='473020156' * lgn_to_e4.json static_synapse 1.0 6.5 ConstantMultiplier_BKG
161 node_type_id=='476562817' * lgn_to_e4.json static_synapse 1.0 8.375 ConstantMultiplier_BKG
162 node_type_id=='478586425' * lgn_to_e4.json static_synapse 1.0 23.625 ConstantMultiplier_BKG
163 node_type_id=='479179020' * lgn_to_e4.json static_synapse 1.0 0.5 ConstantMultiplier_BKG
164 node_type_id=='484679812' * lgn_to_e4.json static_synapse 1.0 0.4375 ConstantMultiplier_BKG
165 node_type_id=='484770879' * lgn_to_e4.json static_synapse 1.0 26.625 ConstantMultiplier_BKG
166 node_type_id=='485836906' * lgn_to_e4.json static_synapse 1.0 25.5 ConstantMultiplier_BKG
167 node_type_id=='486472847' * lgn_to_e4.json static_synapse 1.0 22.875 ConstantMultiplier_BKG
168 node_type_id=='486500736' * lgn_to_e4.json static_synapse 1.0 28.625 ConstantMultiplier_BKG
169 node_type_id=='490626718' * lgn_to_e4.json static_synapse 1.0 38.75 ConstantMultiplier_BKG
170 node_type_id=='490626827' * lgn_to_e4.json static_synapse 1.0 36.0 ConstantMultiplier_BKG
171 node_type_id=='500859045' * lgn_to_e4.json static_synapse 1.0 19.75 ConstantMultiplier_BKG
172 node_type_id=='500894271' * lgn_to_e4.json static_synapse 1.0 18.625 ConstantMultiplier_BKG
173 node_type_id=='320207387' * lgn_to_e4.json static_synapse 1.0 21.5 ConstantMultiplier_BKG
174 node_type_id=='323838579' * lgn_to_e4.json static_synapse 1.0 23.625 ConstantMultiplier_BKG
175 node_type_id=='476266853' * lgn_to_e4.json static_synapse 1.0 26.625 ConstantMultiplier_BKG
176 node_type_id=='500964358' * lgn_to_e4.json static_synapse 1.0 18.0 ConstantMultiplier_BKG
177 node_type_id=='517647182' * lgn_to_e4.json static_synapse 1.0 0.4375 ConstantMultiplier_BKG
178 node_type_id=='479993900' * lgn_to_e4.json static_synapse 1.0 23.75 ConstantMultiplier_BKG
179 node_type_id=='480169202' * lgn_to_e4.json static_synapse 1.0 1.0 ConstantMultiplier_BKG
180 node_type_id=='483020137' * lgn_to_e4.json static_synapse 1.0 19.25 ConstantMultiplier_BKG
181 node_type_id=='488689403' * lgn_to_e4.json static_synapse 1.0 0.875 ConstantMultiplier_BKG
182 node_type_id=='501570114' * lgn_to_vip.json static_synapse 1.0 3.52734375 ConstantMultiplier_BKG
183 node_type_id=='531121585' * lgn_to_vip.json static_synapse 1.0 0.328125 ConstantMultiplier_BKG
184 node_type_id=='535728342' * lgn_to_vip.json static_synapse 1.0 0.375 ConstantMultiplier_BKG
185 node_type_id=='560690291' * lgn_to_vip.json static_synapse 1.0 13.0 ConstantMultiplier_BKG
186 node_type_id=='561934585' * lgn_to_vip.json static_synapse 1.0 10.09375 ConstantMultiplier_BKG
187 node_type_id=='562540395' * lgn_to_vip.json static_synapse 1.0 11.6875 ConstantMultiplier_BKG
188 node_type_id=='478793814' * lgn_to_pv.json static_synapse 1.0 2.0 ConstantMultiplier_BKG
189 node_type_id=='478958894' * lgn_to_pv.json static_synapse 1.0 8.5 ConstantMultiplier_BKG
190 node_type_id=='481127173' * lgn_to_pv.json static_synapse 1.0 23.0 ConstantMultiplier_BKG
191 node_type_id=='481127348' * lgn_to_pv.json static_synapse 1.0 17.5 ConstantMultiplier_BKG
192 node_type_id=='487405644' * lgn_to_pv.json static_synapse 1.0 11.75 ConstantMultiplier_BKG
193 node_type_id=='487667205' * lgn_to_pv.json static_synapse 1.0 12.0 ConstantMultiplier_BKG
194 node_type_id=='491038812' * lgn_to_pv.json static_synapse 1.0 23.5 ConstantMultiplier_BKG
195 node_type_id=='569997187' * lgn_to_pv.json static_synapse 1.0 1.75 ConstantMultiplier_BKG
196 node_type_id=='571314481' * lgn_to_pv.json static_synapse 1.0 7.5 ConstantMultiplier_BKG
197 node_type_id=='572375809' * lgn_to_pv.json static_synapse 1.0 1.0 ConstantMultiplier_BKG
198 node_type_id=='579414994' * lgn_to_pv.json static_synapse 1.0 5.0 ConstantMultiplier_BKG
199 node_type_id=='476099282' * lgn_to_sst.json static_synapse 1.0 13.8359375 ConstantMultiplier_BKG
200 node_type_id=='476753465' * lgn_to_sst.json static_synapse 1.0 5.4375 ConstantMultiplier_BKG
201 node_type_id=='485061364' * lgn_to_sst.json static_synapse 1.0 22.875 ConstantMultiplier_BKG
202 node_type_id=='501280518' * lgn_to_sst.json static_synapse 1.0 17.453125 ConstantMultiplier_BKG
203 node_type_id=='501282204' * lgn_to_sst.json static_synapse 1.0 29.5625 ConstantMultiplier_BKG
204 node_type_id=='573622646' * lgn_to_sst.json static_synapse 1.0 36.75 ConstantMultiplier_BKG
205 node_type_id=='314822529' * lgn_to_e5it.json static_synapse 1.0 41.0625 ConstantMultiplier_BKG
206 node_type_id=='468120757' * lgn_to_e5it.json static_synapse 1.0 67.625 ConstantMultiplier_BKG
207 node_type_id=='480169178' * lgn_to_e5it.json static_synapse 1.0 41.5 ConstantMultiplier_BKG
208 node_type_id=='486110216' * lgn_to_e5it.json static_synapse 1.0 47.625 ConstantMultiplier_BKG
209 node_type_id=='485574832' * lgn_to_e5et.json static_synapse 1.0 31.125 ConstantMultiplier_BKG
210 node_type_id=='485838981' * lgn_to_e5et.json static_synapse 1.0 24.25 ConstantMultiplier_BKG
211 node_type_id=='486111903' * lgn_to_e5et.json static_synapse 1.0 38.625 ConstantMultiplier_BKG
212 node_type_id=='488679042' * lgn_to_e5et.json static_synapse 1.0 28.8125 ConstantMultiplier_BKG
213 node_type_id=='488680917' * lgn_to_e5et.json static_synapse 1.0 21.6875 ConstantMultiplier_BKG
214 node_type_id=='488683425' * lgn_to_e5et.json static_synapse 1.0 10.15625 ConstantMultiplier_BKG
215 node_type_id=='322762730' * lgn_to_e5np.json static_synapse 1.0 19.625 ConstantMultiplier_BKG
