edge_type_id target_query source_query dynamics_params delay syn_weight weight_function model_template done loc s scale ncells target_type_id target_pop cell_type
100 node_type_id=='475585413' * lgn_to_vip.json 1.0 4.678465901004 ConstantMultiplier_BKG static_synapse True 2.7333964480403536 0.324754734154972 1.9525817670775822 100 475585413 i1Htr3a "L1 Htr3a"
101 node_type_id=='482649712' * lgn_to_vip.json 1.0 4.678465901004 ConstantMultiplier_BKG static_synapse True 5.013230859835198 0.3541475650345036 1.5256840137081114 100 482649712 i1Htr3a "L1 Htr3a"
102 node_type_id=='482654108' * lgn_to_vip.json 1.0 4.678465901004 ConstantMultiplier_BKG static_synapse True 6.508644597216693 0.29503855412834445 3.886901639568379 100 482654108 i1Htr3a "L1 Htr3a"
103 node_type_id=='484509440' * lgn_to_e23.json 1.0 3.976659363085 ConstantMultiplier_BKG static_synapse True 5.595763084978912 1.585084147188954 0.21197090020189524 100 484509440 e23Cux2 "L2/3 Exc"
104 node_type_id=='486262299' * lgn_to_e23.json 1.0 3.976659363085 ConstantMultiplier_BKG static_synapse True 34.06146886347841 1.1050388146372925 1.2548158165425185 100 486262299 e23Cux2 "L2/3 Exc"
105 node_type_id=='486753754' * lgn_to_e23.json 1.0 3.976659363085 ConstantMultiplier_BKG static_synapse True 7.647227674705996 1.620954286601019 0.2596210312138264 100 486753754 e23Cux2 "L2/3 Exc"
106 node_type_id=='489751692' * lgn_to_e23.json 1.0 3.976659363085 ConstantMultiplier_BKG static_synapse True 5.4476556722686285 1.3192539029567634 0.26824122182222637 100 489751692 e23Cux2 "L2/3 Exc"
107 node_type_id=='490376252' * lgn_to_e23.json 1.0 3.976659363085 ConstantMultiplier_BKG static_synapse True 4.035877539551544 1.4418064643225625 0.1833558225614907 100 490376252 e23Cux2 "L2/3 Exc"
108 node_type_id=='505512874' * lgn_to_e23.json 1.0 3.976659363085 ConstantMultiplier_BKG static_synapse True 9.806640921388047 1.1633438947471924 0.4670101256636183 100 505512874 e23Cux2 "L2/3 Exc"
109 node_type_id=='513510227' * lgn_to_e23.json 1.0 3.976659363085 ConstantMultiplier_BKG static_synapse True 12.845807097707214 1.7182549338942987 0.2750825886391389 100 513510227 e23Cux2 "L2/3 Exc"
110 node_type_id=='501736631' * lgn_to_vip.json 1.0 2.469383327728 ConstantMultiplier_BKG static_synapse True 6.826788509343956 0.2643307794615861 9.275559087131535 100 501736631 i23Vip "L2/3 VIP"
111 node_type_id=='514767977' * lgn_to_vip.json 1.0 2.469383327728 ConstantMultiplier_BKG static_synapse True 0.2901785467046537 0.31809561196896563 2.159493208449013 100 514767977 i23Vip "L2/3 VIP"
112 node_type_id=='522418855' * lgn_to_vip.json 1.0 2.469383327728 ConstantMultiplier_BKG static_synapse True 0.9680658833980903 0.24148568971936057 2.5559743632190592 100 522418855 i23Vip "L2/3 VIP"
113 node_type_id=='523478869' * lgn_to_vip.json 1.0 2.469383327728 ConstantMultiplier_BKG static_synapse True 2.916715541312381 0.2953597710994521 9.538194840719722 100 523478869 i23Vip "L2/3 VIP"
