edge_type_id target_query source_query delay weight_function dynamics_params model_template syn_weight
100 node_type_id=='475585413' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 20.39453125
101 node_type_id=='482649712' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 27.744140625
102 node_type_id=='482654108' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 39.84765625
103 node_type_id=='484509440' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 9.4345703125
104 node_type_id=='486262299' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 54.59765625
105 node_type_id=='486753754' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 11.92578125
106 node_type_id=='489751692' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 8.853515625
107 node_type_id=='490376252' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 6.827392578125
108 node_type_id=='505512874' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 15.462890625
109 node_type_id=='513510227' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 21.53515625
110 node_type_id=='501736631' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 82.5
111 node_type_id=='514767977' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 16.125
112 node_type_id=='522418855' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 21.6875
113 node_type_id=='523478869' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 72.5
114 node_type_id=='524689239' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 44.0
115 node_type_id=='524693113' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 7.375
116 node_type_id=='524876305' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 30.5
117 node_type_id=='560814288' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 6.75
118 node_type_id=='562539062' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 14.5
119 node_type_id=='575920560' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 41.0
120 node_type_id=='341016267' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 48.875
121 node_type_id=='341442651' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 65.5
122 node_type_id=='469614747' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 57.5
123 node_type_id=='477490421' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 78.0
124 node_type_id=='479298854' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 99.75
125 node_type_id=='481018305' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 68.375
126 node_type_id=='482444444' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 66.0
127 node_type_id=='484635029' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 90.515625
128 node_type_id=='485184849' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 70.0
129 node_type_id=='485245025' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 52.5
130 node_type_id=='488501071' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 60.25
131 node_type_id=='574992320' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 44.625
132 node_type_id=='313862274' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 32.8125
133 node_type_id=='324493977' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 35.0
134 node_type_id=='476686112' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 23.375
135 node_type_id=='485466109' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 38.625
136 node_type_id=='488677994' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 40.5
137 node_type_id=='491026389' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 42.625
138 node_type_id=='623960880' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 20.875
139 node_type_id=='354833767' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 41.265625
140 node_type_id=='369697038' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 17.5
141 node_type_id=='386049446' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 8.125
142 node_type_id=='397354239' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 9.0
143 node_type_id=='465924786' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 16.2734375
