edge_type_id target_query source_query delay weight_function dynamics_params model_template syn_weight
100 node_type_id=='475585413' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 10.025390625
101 node_type_id=='482649712' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 13.66015625
102 node_type_id=='482654108' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 20.103515625
103 node_type_id=='484509440' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 4.31103515625
104 node_type_id=='486262299' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 26.431640625
105 node_type_id=='486753754' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 5.775390625
106 node_type_id=='489751692' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 4.20703125
107 node_type_id=='490376252' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 3.06640625
108 node_type_id=='505512874' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 7.4033203125
109 node_type_id=='513510227' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 9.78515625
110 node_type_id=='501736631' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 38.0
111 node_type_id=='514767977' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 6.875
112 node_type_id=='522418855' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 9.375
113 node_type_id=='523478869' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 31.75
114 node_type_id=='524689239' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 19.75
115 node_type_id=='524693113' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 3.03125
116 node_type_id=='524876305' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 13.375
117 node_type_id=='560814288' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 2.84375
118 node_type_id=='562539062' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 6.1875
119 node_type_id=='575920560' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 17.875
120 node_type_id=='341016267' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 23.47265625
121 node_type_id=='341442651' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 31.75
122 node_type_id=='469614747' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 28.0
123 node_type_id=='477490421' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 38.0
124 node_type_id=='479298854' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 50.1875
125 node_type_id=='481018305' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 33.75
126 node_type_id=='482444444' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 31.625
127 node_type_id=='484635029' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 44.75
