pre e23 e4 e5et e5it e5np e6 pv sst vip
e23 1.82 1.78 1.72 1.77 2.06 2.06 1.17 1.47 1.6
e4 1.42 1.48 1.57 1.55 1.94 1.94 1.13 1.1 1.46
e5et 1.72 1.73 1.92 1.84 2.42 2.42 1.31 1.33 1.61
e5it 1.58 1.58 1.32 1.75 2.0 2.0 1.24 1.43 1.76
e5np 2.05 2.06 1.97 2.34 2.92 2.92 1.25 1.35 1.61
e6 2.05 2.06 1.97 2.34 2.92 2.92 1.25 1.35 1.61
pv 0.9 0.96 0.88 0.88 0.94 0.94 1.01 1.06 0.92
sst 1.13 1.03 1.26 1.27 1.86 1.86 1.2 1.41 1.29
vip 1.85 1.85 1.85 1.85 1.85 1.85 1.44 1.43 1.37
