"pre","e23","e4","e5et","e5it","e5np","e6","pv","sst","vip"
"e23","e23_to_e23","e23_to_e4","e23_to_e5et","e23_to_e5it","e23_to_e5np","e23_to_e6","e23_to_pv","e23_to_sst","e23_to_vip"
"e4","e4_to_e23","e4_to_e4","e4_to_e5et","e4_to_e5it","e4_to_e5np","e4_to_e6","e4_to_pv","e4_to_sst","e4_to_vip"
"e5et","e5et_to_e23","e5et_to_e4","e5et_to_e5et","e5et_to_e5it","e5et_to_e5np","e5et_to_e6","e5et_to_pv","e5et_to_sst","e5et_to_vip"
"e5it","e5it_to_e23","e5it_to_e4","e5it_to_e5et","e5it_to_e5it","e5it_to_e5np","e5it_to_e6","e5it_to_pv","e5it_to_sst","e5it_to_vip"
"e5np","e5np_to_e23","e5np_to_e4","e5np_to_e5et","e5np_to_e5it","e5np_to_e5np","e5np_to_e6","e5np_to_pv","e5np_to_sst","e5np_to_vip"
"e6","e6_to_e23","e6_to_e4","e6_to_e5et","e6_to_e5it","e6_to_e5np","e6_to_e6","e6_to_pv","e6_to_sst","e6_to_vip"
"pv","pv_to_e23","pv_to_e4","pv_to_e5et","pv_to_e5it","pv_to_e5np","pv_to_e6","pv_to_pv","pv_to_sst","pv_to_vip"
"sst","sst_to_e23","sst_to_e4","sst_to_e5et","sst_to_e5it","sst_to_e5np","sst_to_e6","sst_to_pv","sst_to_sst","sst_to_vip"
"vip","vip_to_e23","vip_to_e4","vip_to_e5et","vip_to_e5it","vip_to_e5np","vip_to_e6","vip_to_pv","vip_to_sst","vip_to_vip"
"lgn","lgn_to_e23","lgn_to_e4","lgn_to_e5et","lgn_to_e5it","lgn_to_e5np","lgn_to_e6","lgn_to_pv","lgn_to_sst","lgn_to_vip"
