population syn_weight nsyns
i1Htr3a 4.678465901004 1
e23Cux2 3.976659363085 1
i23Vip 2.469383327728 1
i23Pvalb 2.0636063241600002 1
i23Sst 4.83280828545 1
e4Nr5a1 3.3346936735860005e-14 1
e4Rorb 7.090524410229e-08 1
e4Scnn1a 8.593914270690002e-11 1
e4other 1.1655687327870003e-17 1
i4Vip 0.7932642034619999 1
i4Pvalb 7.481130099256e-26 1
i4Sst 3.6572529099840003 1
e5ET 3.31151020159 1
e5IT 3.31151020159 1
e5NP 3.31151020159 1
i5Vip 0.01970275024068 1
i5Pvalb 3.2695254225500004e-18 1
i5Sst 1.757218084128 1
e6Ntsr1 6.552053732565001 1
i6Vip 2.6324690832719986 1
i6Pvalb 1.91467447012e-20 1
i6Sst 3.1556258975099998 1
