pre L1_Inh L2/3_Exc L2/3_PV L2/3_SST L2/3_VIP L4_Exc L4_PV L4_SST L4_VIP L5_ET L5_IT L5_NP L5_PV L5_SST L5_VIP L6_Exc L6_PV L6_SST L6_VIP
L1_Inh 0.237224829072193 0.1757431587652763 0.175751361869737 0.0917495314924526 0.119232930201868 0.0118200769595738 0.020651871709071 0.0102278655880418 0.0797130018491941 0.168222414091387 0.0538264039854132 0.0162392545442815 0.0048894406497236 0.0021516275904489 0.0084772830551706 0.0116704171950563 0.0032703672494291 2.44140625003226e-05 2.44140625003226e-05
L2/3_Exc 0.0279715230162049 0.0449423811288442 0.2859704527925115 0.2940037154652809 0.0892643794471986 0.0071335666513466 0.1795734993678024 0.4026748170959555 0.0600874994072717 0.1025791755960494 0.0190702565533105 0.0052203537772085 0.113515714475286 0.1778907472096448 0.0312106956524415 0.0074171648499055 0.0127470749807172 0.0034968589366019 0.0009722129050537
L2/3_PV 0.114246730376845 0.6757614715862276 0.656112201028083 0.380008615132342 0.275418485080004 0.0781643503134701 0.231527335860321 0.249943973281476 0.0663143255211707 0.347867875336725 0.103618205745483 0.0311450112592104 0.175618300844065 0.118112667560738 0.0314929506825082 0.0266950828772801 0.0631955477026926 0.0350226476505781 0.0049740242842832
L2/3_SST 0.177076405150029 0.526605910118365 0.56078293287519 0.338124613225498 0.403757088938016 0.0410709093077092 0.180759631671596 0.150439587193646 0.0806214563458338 0.228539714226441 0.0495925714989168 0.170683738737318 0.0819311792783357 0.0623262978399341 0.0186235879322227 0.012824324246454 0.0235838245546203 0.0164070294258564 2.44140625003226e-05
L2/3_VIP 0.0595420306588694 0.088295136502563 0.211749295400191 0.261774156253699 0.194304299501111 0.045590724824054 0.13419016261823 0.348784296899463 0.249136985597803 0.179138326018309 0.0916042797656735 0.0161300011488598 0.112469733801138 0.208289029760148 0.17118542081237 0.0400914165958117 0.0653641519564789 0.0257668529501323 0.0286024206897413
L4_Exc 0.0042666847001652 0.0168809595685914 0.0604385423081673 0.0294004090401428 0.039210965587311 0.0305413259819695 0.315678465282962 0.324284555241534 0.0845196761302092 0.0794175353278716 0.0207991476129913 0.0027264007049514 0.141900684062092 0.145647648618475 0.0195022139034612 0.0109577419523885 0.0299287024990321 0.0181420070971502 0.0018362505997014
L4_PV 0.0118179753048108 0.4405132856762669 0.450098400277799 0.202177359518553 0.155182939321314 0.488046931160011 0.633215339219893 0.388413662252793 0.194864242166707 0.372629124366053 0.180309168749778 0.0184531661789439 0.275957633542795 0.138020058239414 0.0556721424949609 0.0284798932331905 0.0480487142426985 0.0178532710131329 0.0063995847031634
L4_SST 0.142570036006581 0.6652386636694423 0.642828291811501 0.355504645562546 0.454359123699304 0.476772423992245 0.642166594694609 0.389532543636401 0.283881768687639 0.359688068369543 0.145599712006884 0.190442888229577 0.292864372962088 0.190012611718825 0.0832841990601599 0.0273448029969002 0.074642060921681 0.0429489157217991 0.0079553735675219
L4_VIP 2.44140625003226e-05 0.0069031909625667 0.0532163361283113 0.0358893320358945 0.0475835809878976 0.0090387251730265 0.160877014664453 0.401398109859421 0.262676504817764 0.0773012457295183 0.0318347364649496 0.130893782805602 0.267153604983257 0.536153426224391 0.196256814981782 0.01900121419323 0.120296482219561 0.163431472788516 0.0839939764811244
L5_ET 0.0128550383409656 0.0067779138208583 0.0404489109467991 0.0313072259393933 0.0185054539228313 0.0029292147779148 0.0326208116040929 0.0442238646686133 0.026096580318838 0.0321666618820775 0.0191349253908153 0.018038169259645 0.133815957508622 0.194425031691844 0.0160631892382681 0.0057692990255886 0.0226569402368445 0.0100090219133893 0.003944703775126
