population syn_weight dynamics_params
e23Cux2 0.345 exc_to_e23.json
e4Nr5a1 0.345 exc_to_e4.json
e4Rorb 0.345 exc_to_e4.json
e4Scnn1a 0.345 exc_to_e4.json
e4other 0.345 exc_to_e4.json
e5ET 0.345 exc_to_e5et.json
e5IT 0.345 exc_to_e5it.json
e5NP 0.345 exc_to_e5np.json
e6Ntsr1 0.345 exc_to_e6.json
i1Htr3a 0.345 exc_to_vip.json
i23Vip 0.345 exc_to_vip.json
i23Pvalb 0.345 exc_to_pv.json
i23Sst 0.345 exc_to_sst.json
i4Vip 0.345 exc_to_vip.json
i4Pvalb 0.345 exc_to_pv.json
i4Sst 0.345 exc_to_sst.json
i5Vip 0.345 exc_to_vip.json
i5Pvalb 0.345 exc_to_pv.json
i5Sst 0.345 exc_to_sst.json
i6Vip 0.345 exc_to_vip.json
i6Pvalb 0.345 exc_to_pv.json
i6Sst 0.345 exc_to_sst.json
