pre i1Htr3a e23Cux2 i23Vip i23Pvalb i23Sst e4Nr5a1 e4Rorb e4Scnn1a e4other i4Vip i4Pvalb i4Sst e5IT e5ET e5NP i5Vip i5Pvalb i5Sst e6Ntsr1 i6Vip i6Pvalb i6Sst
i1Htr3a vip__to__vip all_int__to__l23_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l5_IT_pyr all_int__to__l5_ET_pyr all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst
e23Cux2 l23_pyr__to__vip l23_pyr__to__l23_pyr l23_pyr__to__vip l23_pyr__to__pvalb l23_pyr__to__sst l23_pyr__to__all_pyr l23_pyr__to__all_pyr l23_pyr__to__all_pyr l23_pyr__to__all_pyr l23_pyr__to__vip l23_pyr__to__pvalb l23_pyr__to__sst l23_pyr__to__all_pyr l23_pyr__to__all_pyr l23_pyr__to__all_pyr l23_pyr__to__vip l23_pyr__to__pvalb l23_pyr__to__sst l23_pyr__to__all_pyr l23_pyr__to__vip l23_pyr__to__pvalb l23_pyr__to__sst
i23Vip vip__to__vip all_int__to__l23_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l5_IT_pyr all_int__to__l5_ET_pyr all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst
i23Pvalb pvalb__to__vip pvalb__to__l23_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l5_IT_pyr pvalb__to__l5_ET_pyr pvalb__to__l6_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l6_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst
i23Sst sst__to__vip sst__to__l23_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__l4_pyr sst__to__l4_pyr sst__to__l4_pyr sst__to__l4_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__l5_IT_pyr sst__to__l5_ET_pyr sst__to__all_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__all_pyr sst__to__vip sst__to__pvalb sst__to__sst
e4Nr5a1 all_pyr__to__vip l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__all_pyr l4_pyr__to__all_pyr l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst
e4Rorb all_pyr__to__vip l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__all_pyr l4_pyr__to__all_pyr l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst
e4Scnn1a all_pyr__to__vip l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__all_pyr l4_pyr__to__all_pyr l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst
e4other all_pyr__to__vip l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr l4_pyr__to__l4_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__all_pyr l4_pyr__to__all_pyr l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst l4_pyr__to__all_pyr all_pyr__to__vip l4_pyr__to__pvalb l4_pyr__to__sst
i4Vip vip__to__vip all_int__to__l23_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l5_IT_pyr all_int__to__l5_ET_pyr all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst
i4Pvalb pvalb__to__vip pvalb__to__l23_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l5_IT_pyr pvalb__to__l5_ET_pyr pvalb__to__l6_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l6_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst
i4Sst sst__to__vip sst__to__l23_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__l4_pyr sst__to__l4_pyr sst__to__l4_pyr sst__to__l4_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__l5_IT_pyr sst__to__l5_ET_pyr sst__to__all_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__all_pyr sst__to__vip sst__to__pvalb sst__to__sst
e5IT l5_IT_pyr__to__all_int l5_IT_pyr__to__all_pyr l5_IT_pyr__to__all_int l5_IT_pyr__to__pvalb l5_IT_pyr__to__sst l5_IT_pyr__to__all_pyr l5_IT_pyr__to__all_pyr l5_IT_pyr__to__all_pyr l5_IT_pyr__to__all_pyr l5_IT_pyr__to__all_int l5_IT_pyr__to__pvalb l5_IT_pyr__to__sst l5_IT_pyr__to__l5_IT_pyr l5_IT_pyr__to__all_pyr l5_IT_pyr__to__all_pyr l5_IT_pyr__to__all_int l5_IT_pyr__to__pvalb l5_IT_pyr__to__sst l5_IT_pyr__to__all_pyr l5_IT_pyr__to__all_int l5_IT_pyr__to__pvalb l5_IT_pyr__to__sst
e5ET l5_ET_pyr__to__all_int l5_ET_pyr__to__all_pyr l5_ET_pyr__to__all_int l5_ET_pyr__to__all_int l5_ET_pyr__to__sst l5_ET_pyr__to__all_pyr l5_ET_pyr__to__all_pyr l5_ET_pyr__to__all_pyr l5_ET_pyr__to__all_pyr l5_ET_pyr__to__all_int l5_ET_pyr__to__all_int l5_ET_pyr__to__sst l5_ET_pyr__to__all_pyr l5_ET_pyr__to__l5_ET_pyr l5_ET_pyr__to__all_pyr l5_ET_pyr__to__all_int l5_ET_pyr__to__all_int l5_ET_pyr__to__sst l5_ET_pyr__to__all_pyr l5_ET_pyr__to__all_int l5_ET_pyr__to__all_int l5_ET_pyr__to__sst
e5NP l6_pyr__to__all_int all_pyr__to__l23_pyr l6_pyr__to__all_int l6_pyr__to__pvalb l6_pyr__to__all_int all_pyr__to__l4_pyr all_pyr__to__l4_pyr all_pyr__to__l4_pyr all_pyr__to__l4_pyr l6_pyr__to__all_int l6_pyr__to__pvalb l6_pyr__to__all_int all_pyr__to__l5_IT_pyr all_pyr__to__l5_ET_pyr all_pyr__to__all_pyr l6_pyr__to__all_int l6_pyr__to__pvalb l6_pyr__to__all_int all_pyr__to__all_pyr l6_pyr__to__all_int l6_pyr__to__pvalb l6_pyr__to__all_int
i5Vip vip__to__vip all_int__to__l23_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l5_IT_pyr all_int__to__l5_ET_pyr all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst
i5Pvalb pvalb__to__vip pvalb__to__l23_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l5_IT_pyr pvalb__to__l5_ET_pyr pvalb__to__l6_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l6_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst
i5Sst sst__to__vip sst__to__l23_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__l4_pyr sst__to__l4_pyr sst__to__l4_pyr sst__to__l4_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__l5_IT_pyr sst__to__l5_ET_pyr sst__to__all_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__all_pyr sst__to__vip sst__to__pvalb sst__to__sst
e6Ntsr1 l6_pyr__to__all_int all_pyr__to__l23_pyr l6_pyr__to__all_int l6_pyr__to__pvalb l6_pyr__to__all_int all_pyr__to__l4_pyr all_pyr__to__l4_pyr all_pyr__to__l4_pyr all_pyr__to__l4_pyr l6_pyr__to__all_int l6_pyr__to__pvalb l6_pyr__to__all_int all_pyr__to__l5_IT_pyr all_pyr__to__l5_ET_pyr all_pyr__to__all_pyr l6_pyr__to__all_int l6_pyr__to__pvalb l6_pyr__to__all_int all_pyr__to__all_pyr l6_pyr__to__all_int l6_pyr__to__pvalb l6_pyr__to__all_int
i6Vip vip__to__vip all_int__to__l23_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr all_int__to__l4_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l5_IT_pyr all_int__to__l5_ET_pyr all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst all_int__to__l6_pyr vip__to__vip vip__to__pvalb vip__to__sst
i6Pvalb pvalb__to__vip pvalb__to__l23_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__l4_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l5_IT_pyr pvalb__to__l5_ET_pyr pvalb__to__l6_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst pvalb__to__l6_pyr pvalb__to__vip pvalb__to__pvalb pvalb__to__sst
i6Sst sst__to__vip sst__to__l23_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__l4_pyr sst__to__l4_pyr sst__to__l4_pyr sst__to__l4_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__l5_IT_pyr sst__to__l5_ET_pyr sst__to__all_pyr sst__to__vip sst__to__pvalb sst__to__sst sst__to__all_pyr sst__to__vip sst__to__pvalb sst__to__sst
